Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Nancy Kress,Beggars in Spain,60733489,9780060733483,OL1847211W,Beggars in Spain,Nancy Kress,ddd632a2-5586-478d-936c-1dbdbc7cd769
Philip K. Dick,Time Out of Joint,,9780547725666,OL2172523W,Time Out of Joint,Philip K. Dick,f60eb1af-e943-42a8-b13f-d477bebc3561
Christopher Priest,The Inverted World,1590172698,9781590172698,OL166496W,The Inverted World,Christopher Priest,148501ce-e99c-45cf-b2f3-180ae8b26d39
Greg Egan,Diaspora,3453161815,9783453161818,OL115341W,Diaspora,Greg Egan,cf3e5868-a15f-4b21-ba08-e8779bddfc88
Julian May,The Many-Coloured Land,033026656X,9780330266567,OL2360561W,The Many-Coloured Land,Julian May,e028cf13-ae71-4279-8871-c53672928df7
Gregory Benford,Timescape,2207303330,9782207303337,OL108288W,Timescape,Gregory Benford,2baddd62-a33c-4685-9013-009028cd42b3
Kage Baker,In the Garden of Iden,340708263,9780340708262,OL20116370W,In the Garden of Iden,Kage Baker,e2ec0904-c53f-4f4a-858c-682984dd05c6
Harlan Ellison [editor],Dangerous Visions,425022749,9780425022740,OL1737330W,,,
Vonda N. McIntyre,Dreamsnake,395264707,9780395264706,OL1921526W,Dreamsnake,Vonda N. McIntyre,fbb434a5-2f78-4964-bbde-8629d51ecce2
Marge Piercy,Woman on the Edge of Time,,9781473529717,OL35706485W,Woman on the Edge of Time,Marge Piercy,b60afc02-3333-4290-8d94-cd7cdd3785d7
Stephen R. Donaldson,The Real Story,553295098,9780553295092,OL1902799W,The Gap Into Conflict: The Real Story,Stephen R. Donaldson,b6071aa9-057a-4cf7-9e0d-bae62ed17e99
